term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
CPC001 HA1E 24H-hemado-10.0,hemado,HA1E,24H,10.0,74,46,0,2,1.0,0.4858340389150258,0.0,1.242063492063492,0.3135120605578806,0.1932981984307902,0.1202138621270904,0.8365518973642119,True,1.0,-0.35304257801829975,0.5438187270909697,chem
CPC001 HA1E 24H-ici-89406-10.0,ici-89406,HA1E,24H,10.0,40,56,0,1,1.0,0.5892759104577799,0.0,1.1443898890707402,0.2296813124583833,0.906470724046693,-0.6767894115883097,0.9009208199692085,True,1.0,-0.5138260517502456,0.6151282905698101,chem
CPC001 HA1E 24H-n-benzylnaltrindole hydrochloride-10.0,n-benzylnaltrindole hydrochloride,HA1E,24H,10.0,110,101,0,2,1.0,0.7002958569376848,0.0,0.8232804232804233,0.1547184430000367,0.04798057836708278,0.10673786463295393,0.949777923000205,False,1.0,-0.6576013469214411,0.676107964011996,chem
CPC001 HA1E 24H-cilnidipine-10.0,cilnidipine,HA1E,24H,10.0,11,50,1,0,0.47259539417038376,1.0,1.598135550516503,0.0,0.3255105152388468,0.1729651157231477,0.15254539951569906,0.8268130429458003,True,1.0,-0.33003010029674357,0.5368210596467844,chem
CPC001 HA1E 24H-norketamine hydrochloride-10.0,norketamine hydrochloride,HA1E,24H,10.0,72,53,0,2,1.0,0.4714545127331613,0.0,1.2779591836734694,0.3265602028671769,0.4886055304624651,-0.16204532759528817,0.8259565562453897,True,1.0,-0.3280168482735593,0.5351549483505498,chem
CPC001 HA1E 24H-sdz 21009-10.0,sdz 21009,HA1E,24H,10.0,60,13,0,2,1.0,0.3805671096433224,0.0,1.5453201970443349,0.419568748150007,-0.0,0.419568748150007,0.7482302332463664,True,1.0,-0.14963078663923532,0.46217927357547484,chem
CPC001 HA1E 24H-brefeldin a-10.0,brefeldin a,HA1E,24H,10.0,102,211,3,1,0.5033974149280042,0.8977353449218803,1.129016553067186,0.4375394986307141,0.344940694776105,1.1731795023958262,-0.8282388076197212,0.8108556429213943,True,1.0,-0.2927639201413683,0.5188270576474509,chem
CPC001 HA1E 24H-trichostatin a-10.0,trichostatin a,HA1E,24H,10.0,198,200,0,3,1.0,0.8155528537087638,0.0,0.6792473713337023,0.08854788829598817,0.16992595620196532,-0.08137806790597715,0.9818351483241615,False,1.0,-0.7845133915504509,0.7257580806397868,chem
CPC001 HA1E 24H-geldanamycin-10.0,geldanamycin,HA1E,24H,10.0,122,166,1,3,0.8827685532033326,0.5038615951497613,0.4659184436962215,1.126836346049211,0.3518418888298439,0.010548883148500282,0.34129300568134363,0.8051405302950688,True,1.0,-0.27952775109822164,0.5114961679440186,chem
CPC001 HA1E 24H-vinblastine sulfate-10.0,vinblastine sulfate,HA1E,24H,10.0,140,175,2,2,0.6553250806369563,0.8176164573812933,0.8986994219653179,0.6412008281573499,0.2709935858149177,0.34690288323501306,-0.07590929742009533,0.8701390098321911,False,1.0,-0.4345910339481422,0.5844718427190936,chem
CPC001 HA1E 24H-taxol-10.0,taxol,HA1E,24H,10.0,112,116,0,2,1.0,0.7097304673085031,0.0,0.808051948051948,0.14890655097803113,0.9555952248420975,-0.8066886738640664,0.9530757558504807,False,1.0,-0.6687482853591603,0.6794401866044651,chem
CPC001 HA1E 24H-dpn-10.0,dpn,HA1E,24H,10.0,47,18,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-genistin-10.0,genistin,HA1E,24H,10.0,76,98,3,1,0.12718051458842247,0.8164888153230178,2.5171219187208527,0.5916784869976359,0.9836291822106904,0.2573301811929142,0.7262990010177762,0.3390309582257358,True,1.0,0.9322108769396888,0.15761412862379207,chem
CPC001 HA1E 24H-cyclosporine-10.0,cyclosporine,HA1E,24H,10.0,122,133,1,0,0.8196724897584244,1.0,0.5854844743733633,0.0,0.08635964066866184,0.24986690663599417,-0.16350726596733234,0.9826647096257128,False,1.0,-0.7887103486680188,0.7280906364545152,chem
CPC001 HA1E 24H-estradiol valerate-10.0,estradiol valerate,HA1E,24H,10.0,107,90,1,4,0.6850167188736285,0.20757260950986084,0.8743237619642114,1.7529196566765162,0.8471287836485059,0.06247474198817105,0.7846540416603348,0.41954592755303155,True,1.0,0.670409464639579,0.20359880039986672,chem
CPC001 HA1E 24H-lfm-a12-10.0,lfm-a12,HA1E,24H,10.0,62,79,3,0,0.07809505115713353,1.0,3.155896069287142,0.0,1.1073764862666928,0.0817388138362365,1.0256376724304563,0.2772240453046335,True,1.0,1.1695524474511743,0.12162612462512495,chem
CPC001 HA1E 24H-ro 60-0175-10.0,ro 60-0175,HA1E,24H,10.0,42,39,0,5,1.0,0.002094558255726707,0.0,6.209311501282304,2.6789075561484004,0.617941969997564,2.0609655861508362,0.015014657800784436,True,1.0,4.183675907179402,0.003998667110963012,chem
CPC001 HA1E 24H-kf 38789-10.0,kf 38789,HA1E,24H,10.0,95,94,0,0,1.0,1.0,0.0,0.0,-0.0,0.8212315029003774,-0.8212315029003774,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-lobelanidine hydrochloride-10.0,lobelanidine hydrochloride,HA1E,24H,10.0,85,60,1,1,0.5362204462844031,0.8500731001258712,1.325172630257376,0.5275244849712935,0.3412003567297059,0.665877599497775,-0.32467724276806914,0.8139434706196184,True,1.0,-0.29993771445509715,0.5208263912029324,chem
CPC001 HA1E 24H-fluticasone propionate-10.0,fluticasone propionate,HA1E,24H,10.0,20,58,0,1,1.0,0.35867553496041954,0.0,2.356476297125793,0.44529824527564915,0.13948074947219694,0.3058174958034522,0.7264388683586092,True,1.0,-0.10028280849251912,0.4428523825391536,chem
CPC001 HA1E 24H-rimcazole dihydrochloride-10.0,rimcazole dihydrochloride,HA1E,24H,10.0,87,20,0,3,1.0,0.29800421783834874,0.0,1.605344295991778,0.5257775890413382,-0.0,0.5257775890413382,0.6587823205039529,True,1.0,0.054072827687143034,0.38020659780073307,chem
CPC001 HA1E 24H-clobetasol propionate-10.0,clobetasol propionate,HA1E,24H,10.0,46,54,1,4,0.49901872549289583,0.01775226822874442,1.4765897973445143,4.340924775707385,2.052629306064479,0.15515819823734667,1.8974711078271325,0.0507281306975505,True,1.0,2.9825033678177855,0.013995334888370544,chem
CPC001 HA1E 24H-ginsenoside-rc-10.0,ginsenoside-rc,HA1E,24H,10.0,69,62,1,5,0.5480039676880454,0.017293054547214384,1.2813195709370573,3.574361313868613,2.023344585734525,0.12561615495840892,1.8977284307761162,0.05362770418317019,True,1.0,2.926336637010014,0.015661446184605132,chem
CPC001 HA1E 24H-bw-b 70c-10.0,bw-b 70c,HA1E,24H,10.0,47,57,1,1,0.5179739744277554,0.6487051647006395,1.3968253968253967,0.9691643539932162,0.4736447052050048,-0.0,0.4736447052050048,0.7024699394510747,True,1.0,-0.04591561747048719,0.41886037987337554,chem
CPC001 HA1E 24H-wortmannin-10.0,wortmannin,HA1E,24H,10.0,136,100,0,4,1.0,0.348807515995116,0.0,1.3614404918752745,0.4574141655971621,0.18755221079487303,0.26986195480228903,0.7161838137176086,True,1.0,-0.07704503713874057,0.4335221592802399,chem
CPC001 HA1E 24H-pd 166793-10.0,pd 166793,HA1E,24H,10.0,67,62,0,2,1.0,0.4344938346499571,0.0,1.3773626373626373,0.3620163816928742,0.3650545765724078,-0.0030381948795336067,0.7966763915144026,True,1.0,-0.260013547264119,0.5031656114628457,chem
CPC001 HA1E 24H-fr 139317-10.0,fr 139317,HA1E,24H,10.0,44,54,1,2,0.49901872549289583,0.2511692107532274,1.4765897973445143,2.139455782312925,0.9019167564201653,-0.0,0.9019167564201653,0.38563287695285,True,1.0,0.7754902468187315,0.18393868710429856,chem
CPC001 HA1E 24H-u 18666a-10.0,u 18666a,HA1E,24H,10.0,105,62,1,2,0.5480039676880454,0.6756058419855224,1.2813195709370573,0.8639389736477116,0.43152290082817735,0.25603498787745915,0.1754879129507182,0.7381065998397129,True,1.0,-0.12670327809741666,0.4525158280573142,chem
CPC001 HA1E 24H-sdz nkt 343-10.0,sdz nkt 343,HA1E,24H,10.0,51,56,0,1,1.0,0.6787445310778502,0.0,0.8910638297872341,0.16829365667717439,-0.0,0.16829365667717439,0.9417651400069137,False,1.0,-0.6315647188208182,0.6657780739753415,chem
CPC001 HA1E 24H-naltrindole hydrochloride-10.0,naltrindole hydrochloride,HA1E,24H,10.0,59,49,0,0,1.0,1.0,0.0,0.0,-0.0,0.5344919444562709,-0.5344919444562709,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-tenidap-10.0,tenidap,HA1E,24H,10.0,27,43,2,2,0.1026086474695751,0.11753764457351683,3.872560975609756,3.604,1.918639053674569,-0.0,1.918639053674569,0.06534107791652828,True,1.0,2.725516299064678,0.020993002332555816,chem
CPC001 HA1E 24H-sarmentogenin-10.0,sarmentogenin,HA1E,24H,10.0,143,256,2,3,0.8417207179818271,0.6120793371279276,0.6041338582677165,0.954573484069887,0.2880242644140104,0.2502412995211683,0.03778296489284211,0.856880600240876,False,1.0,-0.4019269849297027,0.571142952349217,chem
CPC001 HA1E 24H-ntncb hydrochloride-10.0,ntncb hydrochloride,HA1E,24H,10.0,131,45,0,2,1.0,0.7875586762202808,0.0,0.6869324473975637,0.10371707968518042,0.28771877785702094,-0.18400169817184053,0.9756413928606702,False,1.0,-0.7554195883749825,0.7194268577140953,chem
CPC001 HA1E 24H-ebpc-10.0,ebpc,HA1E,24H,10.0,42,45,1,1,0.4376233415150166,0.6072067945410671,1.7811447811447811,1.0882200311364816,0.5755628994969924,0.5802084966066449,-0.004645597109652511,0.6178923714840479,True,1.0,0.1495587363466107,0.34755081639453517,chem
"CPC001 HA1E 24H-l-732,138-10.0","l-732,138",HA1E,24H,10.0,76,65,0,4,1.0,0.08498648384953789,0.0,2.5201288244766507,1.070650138477656,0.377445042062586,0.6932050964150701,0.2945005221202495,True,1.0,1.0991130214782558,0.13328890369876709,chem
CPC001 HA1E 24H-ro 08-2750-10.0,ro 08-2750,HA1E,24H,10.0,97,146,2,1,0.5560250025873382,0.8855433919286201,1.0847222222222221,0.46069739952718675,0.3076958325810609,0.660713268161673,-0.35301743558061205,0.8412364701487847,True,1.0,-0.36419783261557565,0.5494835054981673,chem
CPC001 HA1E 24H-gr 32191 hydrochloride-10.0,gr 32191 hydrochloride,HA1E,24H,10.0,25,46,0,0,1.0,1.0,0.0,0.0,-0.0,0.7566261046292201,-0.7566261046292201,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-o-2050-10.0,o-2050,HA1E,24H,10.0,46,45,0,2,1.0,0.2675399479808848,0.0,2.0415584415584416,0.5726113617087648,0.19883252618512057,0.3737788355236442,0.6202877269843359,True,1.0,0.14389782422067948,0.3515494835054982,chem
CPC001 HA1E 24H-rottlerin ncgc00025228-11-10.0,rottlerin ncgc00025228-11,HA1E,24H,10.0,139,177,4,0,0.18580961120323025,1.0,1.8434859937750112,0.0,0.7309318254092728,1.3051528845759002,-0.5742210591666274,0.49853326751167004,True,1.0,0.44754910604399856,0.2562479173608797,chem
CPC001 HA1E 24H-jak3 inhibitor vi-10.0,jak3 inhibitor vi,HA1E,24H,10.0,145,240,3,1,0.5914646735716034,0.961323743286769,0.9862201570261176,0.30476753349093777,0.24520152049967475,0.18143006294860892,0.06377145755106584,0.8896129048966913,False,1.0,-0.484059014970858,0.6057980673108964,chem
CPC001 HA1E 24H-zk 164015-10.0,zk 164015,HA1E,24H,10.0,40,49,0,1,1.0,0.5892759104577799,0.0,1.1443898890707402,0.2296813124583833,0.9320386354179626,-0.7023573229595793,0.9009208199692085,True,1.0,-0.5138260517502456,0.6151282905698101,chem
CPC001 HA1E 24H-isoeugenitol-10.0,isoeugenitol,HA1E,24H,10.0,61,54,1,2,0.49901872549289583,0.3884098485330607,1.4765897973445143,1.5188861985472155,0.7125929239702835,-0.0,0.7125929239702835,0.5118509909784055,True,1.0,0.41237594649770837,0.26491169610129955,chem
CPC001 HA1E 24H-r(-)-n-allylnorapomorphine-10.0,r(-)-n-allylnorapomorphine,HA1E,24H,10.0,56,47,0,0,1.0,1.0,0.0,0.0,-0.0,0.8504752935578621,-0.8504752935578621,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-angiogenesis inhibitor-10.0,angiogenesis inhibitor,HA1E,24H,10.0,70,71,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-mibefradil dihydrochloride-10.0,mibefradil dihydrochloride,HA1E,24H,10.0,85,42,0,2,1.0,0.5604415890053939,0.0,1.0755593803786574,0.25146964425462504,0.216663377403777,0.03480626685084803,0.8849542247521202,True,1.0,-0.4720370453004158,0.6004665111629457,chem
CPC001 HA1E 24H-ic 261-10.0,ic 261,HA1E,24H,10.0,101,116,3,2,0.18139298908858134,0.6546948815405835,2.110115380306934,0.8994227994227995,0.9253405570219536,1.3805220624408883,-0.45518150541893465,0.3717898077648522,True,1.0,0.8204160063299072,0.1749416861046318,chem
CPC001 HA1E 24H-benzo[a]pyrene-10.0,benzo[a]pyrene,HA1E,24H,10.0,51,52,0,0,1.0,1.0,0.0,0.0,-0.0,0.16377284357838476,-0.16377284357838476,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-cdc-10.0,cdc,HA1E,24H,10.0,41,58,0,0,1.0,1.0,0.0,0.0,-0.0,0.5288156047426402,-0.5288156047426402,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-gbr 13069 dihydrochloride-10.0,gbr 13069 dihydrochloride,HA1E,24H,10.0,61,26,0,2,1.0,0.3884098485330607,0.0,1.5188861985472155,0.410709766639067,-0.0,0.410709766639067,0.7557267841575523,True,1.0,-0.1666219009182758,0.4708430523158947,chem
CPC001 HA1E 24H-gr 127935 hydrochloride-10.0,gr 127935 hydrochloride,HA1E,24H,10.0,134,112,0,2,1.0,0.7980288380697089,0.0,0.670995670995671,0.09798141442840695,0.03697596390601147,0.061005450522395484,0.9780725585564618,False,1.0,-0.7664203274242526,0.7224258580473175,chem
CPC001 HA1E 24H-dichlorobenzamil-10.0,dichlorobenzamil,HA1E,24H,10.0,129,110,1,3,0.7568751309894344,0.5416612129686181,0.7116321214180541,1.0630352860568688,0.38724802641362577,0.1547184430000367,0.23252958341358906,0.7755283920511719,True,1.0,-0.21162042686207078,0.485838053982006,chem
CPC001 HA1E 24H-cyclosporin a-10.0,cyclosporin a,HA1E,24H,10.0,87,68,0,2,1.0,0.5731589146951137,0.0,1.0499159663865547,0.2417249483526789,-0.0,0.2417249483526789,0.8921747319014167,True,1.0,-0.4907269185640632,0.6101299566811063,chem
CPC001 HA1E 24H-cosmosiin-10.0,cosmosiin,HA1E,24H,10.0,25,62,1,1,0.5480039676880454,0.42621022100959977,1.2813195709370573,1.864066193853428,0.6315924367192804,0.12561615495840892,0.5059762817608715,0.57323722405072,True,1.0,0.25702078136499296,0.3065644785071643,chem
CPC001 HA1E 24H-syrosingopine-10.0,syrosingopine,HA1E,24H,10.0,47,43,0,1,1.0,0.6487051647006395,0.0,0.9691643539932162,0.18795264439741394,0.5554829157605377,-0.3675302713631237,0.9294498119856278,False,1.0,-0.5938596952182346,0.6511162945684772,chem
"CPC001 HA1E 24H-ly-165,163-10.0","ly-165,163",HA1E,24H,10.0,54,47,0,1,1.0,0.6995871145504498,0.0,0.8402248093135287,0.15515819823734667,0.5595209518507488,-0.4043627536134021,0.9495250730711686,False,1.0,-0.6567579168406003,0.6757747417527491,chem
CPC001 HA1E 24H-ag 556-10.0,ag 556,HA1E,24H,10.0,74,62,0,2,1.0,0.4858340389150258,0.0,1.242063492063492,0.3135120605578806,-0.0,0.3135120605578806,0.8365518973642119,True,1.0,-0.35304257801829975,0.5438187270909697,chem
CPC001 HA1E 24H-fit-10.0,fit,HA1E,24H,10.0,137,107,0,3,1.0,0.5827896057307156,0.0,0.9982819714377752,0.23448820263651793,0.16388298632504048,0.07060521631147745,0.8974546380013391,False,1.0,-0.5046066600806025,0.6134621792735755,chem
CPC001 HA1E 24H-am 404-10.0,am 404,HA1E,24H,10.0,61,39,0,0,1.0,1.0,0.0,0.0,-0.0,0.6768239820868034,-0.6768239820868034,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-digoxin-10.0,digoxin,HA1E,24H,10.0,171,269,5,6,0.25398504358357354,0.17268666623872503,1.507280598189689,1.6489304812834225,1.3579330515085073,0.19294766014943493,1.1649853913590724,0.18099883609035972,True,1.0,1.6501082797587883,0.07664111962679107,chem
CPC001 HA1E 24H-arecaidine propargyl ester tosylate-10.0,arecaidine propargyl ester tosylate,HA1E,24H,10.0,44,49,1,1,0.4657772989980638,0.6243601472782201,1.631687242798354,1.037275276265875,0.5363865074935213,0.1777939356962094,0.35859257179731197,0.6499885485438872,True,1.0,0.07442023958494016,0.37387537487504163,chem
CPC001 HA1E 24H-sb 269970 hydrochloride-10.0,sb 269970 hydrochloride,HA1E,24H,10.0,90,58,1,1,0.5241335714508069,0.8660146882025537,1.372103097249296,0.49748983982787476,0.34303276425677764,0.30377957823385465,0.03925318602292299,0.8124316144191535,True,1.0,-0.29642324209054804,0.5201599466844385,chem
CPC001 HA1E 24H-levcromakalim-10.0,levcromakalim,HA1E,24H,10.0,47,43,0,2,1.0,0.27572684290809535,0.0,1.9958730158730158,0.5595209518507488,0.2105049319006799,0.3490160199500689,0.6309580328570098,True,1.0,0.11879102728444477,0.36054648450516497,chem
CPC001 HA1E 24H-resveratrol-10.0,resveratrol,HA1E,24H,10.0,81,88,1,1,0.6767684038226862,0.8359751513899556,0.8947069675039023,0.5542553191489362,0.2473665567144563,0.23700831763891578,0.01035823907554051,0.8880094836490883,False,1.0,-0.4799065762623917,0.6034655114961679,chem
CPC001 HA1E 24H-pdgf receptor tyrosine kinase inhibitor i-10.0,pdgf receptor tyrosine kinase inhibitor i,HA1E,24H,10.0,57,103,1,1,0.7337864634203204,0.7190863678527015,0.7613168724279835,0.7948328267477204,0.27764924853256656,0.045750584156238075,0.2318986643763285,0.8649920382013496,False,1.0,-0.42182578258164266,0.5784738420526491,chem
CPC001 HA1E 24H-h 89 dihydrochloride-10.0,h 89 dihydrochloride,HA1E,24H,10.0,88,71,0,2,1.0,0.5794175992733966,0.0,1.0375415282392026,0.23700831763891578,0.26935360461699687,-0.03234528697808109,0.8956242197497757,True,1.0,-0.49977319678132953,0.6121292902365878,chem
CPC001 HA1E 24H-zuclopenthixol hydrochloride-10.0,zuclopenthixol hydrochloride,HA1E,24H,10.0,65,42,0,1,1.0,0.7651538606375023,0.0,0.6945921985815603,0.1162512261443165,0.216663377403777,-0.1004121512594605,0.9699689761746659,False,1.0,-0.7313796787516905,0.7074308563812063,chem
CPC001 HA1E 24H-isoflupredone acetate-10.0,isoflupredone acetate,HA1E,24H,10.0,31,44,0,2,1.0,0.14733099266807473,0.0,3.1049261083743844,0.8317058850046023,0.6899547343511891,0.14175115065341315,0.4294806831467698,True,1.0,0.6408290627560199,0.21159613462179275,chem
CPC001 HA1E 24H-syk inhibitor-10.0,syk inhibitor,HA1E,24H,10.0,62,95,1,0,0.7047388892260853,1.0,0.8271604938271605,0.0,0.1519717624032751,1.5422621175093116,-1.3902903551060366,0.9513466991168715,False,1.0,-0.6628693524873144,0.676441186271243,chem
CPC001 HA1E 24H-nsc 693868-10.0,nsc 693868,HA1E,24H,10.0,63,43,0,1,1.0,0.754393433432854,0.0,0.7172271791352093,0.12240210054152371,1.8502478638650357,-1.727845763323512,0.9670126232559566,False,1.0,-0.7195825878931181,0.7030989670109964,chem
CPC001 HA1E 24H-ag 494-10.0,ag 494,HA1E,24H,10.0,35,51,1,2,0.4793275202099277,0.1784514501209019,1.565925925925926,2.726839826839827,1.0678475541762766,0.16829365667717439,0.8995538974991022,0.29585515043104543,True,1.0,1.093737795208444,0.13428857047650783,chem
CPC001 HA1E 24H-bapta-am-10.0,bapta-am,HA1E,24H,10.0,25,69,0,0,1.0,1.0,0.0,0.0,-0.0,0.1049698316977878,-0.1049698316977878,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-tms-10.0,tms,HA1E,24H,10.0,42,65,0,2,1.0,0.23483059403922776,0.0,2.2471428571428573,0.6292453232810424,0.377445042062586,0.25180028121845643,0.5750745050714916,True,1.0,0.252519127015029,0.311562812395868,chem
CPC001 HA1E 24H-aloisine-10.0,aloisine,HA1E,24H,10.0,47,34,0,0,1.0,1.0,0.0,0.0,-0.0,0.2753470641431871,-0.2753470641431871,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-oxindole i-10.0,oxindole i,HA1E,24H,10.0,28,36,0,0,1.0,1.0,0.0,0.0,-0.0,0.5218764302807071,-0.5218764302807071,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-jak3 inhibitor ii-10.0,jak3 inhibitor ii,HA1E,24H,10.0,55,69,0,0,1.0,1.0,0.0,0.0,-0.0,1.4940109924367098,-1.4940109924367098,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-metergoline-10.0,metergoline,HA1E,24H,10.0,71,30,0,2,1.0,0.4641759411062928,0.0,1.296687370600414,0.3333173733922878,-0.0,0.3333173733922878,0.8204270838871247,True,1.0,-0.3150569096560849,0.5288237254248583,chem
CPC001 HA1E 24H-cyclopamine-10.0,cyclopamine,HA1E,24H,10.0,46,45,0,2,1.0,0.2675399479808848,0.0,2.0415584415584416,0.5726113617087648,1.123644132625014,-0.5510327709162491,0.6202877269843359,True,1.0,0.14389782422067948,0.3515494835054982,chem
CPC001 HA1E 24H-ag-879-10.0,ag-879,HA1E,24H,10.0,51,61,1,0,0.5421496516795823,1.0,1.302880658436214,0.0,0.26588081691603516,0.410709766639067,-0.14482894972303184,0.8740608278188708,True,1.0,-0.4443970867698982,0.590803065644785,chem
CPC001 HA1E 24H-sb 225002-10.0,sb 225002,HA1E,24H,10.0,75,145,0,2,1.0,0.49293320212056363,0.0,1.224853228962818,0.3072119284224398,1.0062902428904184,-0.6990783144679786,0.8416250826695822,True,1.0,-0.3651259382729903,0.5521492835721427,chem
CPC001 HA1E 24H-vegf receptor 2 kinase inhibitor iv-10.0,vegf receptor 2 kinase inhibitor iv,HA1E,24H,10.0,47,36,2,1,0.07569943541980848,0.6487051647006395,4.675,0.9691643539932162,1.308860003932693,1.9307215986086994,-0.6218615946760064,0.1971022412288195,True,1.0,1.5559884581571988,0.08430523158947018,chem
CPC001 HA1E 24H-t 98475-10.0,t 98475,HA1E,24H,10.0,104,71,0,2,1.0,0.6704756738798134,0.0,0.8725490196078431,0.17361697454827255,0.09979367928482703,0.07382329526344551,0.9385102975229462,False,1.0,-0.6213548428683973,0.6604465178273908,chem
CPC001 HA1E 24H-lylamine hydrochloride-10.0,lylamine hydrochloride,HA1E,24H,10.0,148,112,0,2,1.0,0.8411014494298962,0.0,0.6052837573385519,0.07515161862491054,0.21862590254541686,-0.14347428392050632,0.986648164818503,False,1.0,-0.8102068133747361,0.7357547484171942,chem
CPC001 HA1E 24H-BRD-K62310379 (fluticasone propionate)-10.0,brd-k62310379 (fluticasone propionate),HA1E,24H,10.0,29,62,0,1,1.0,0.47511335427849205,0.0,1.596757852077001,0.3232027624497683,0.4020754070002483,-0.07887264455047999,0.8286935975885885,True,1.0,-0.3344562627532951,0.538487170943019,chem
CPC001 HA1E 24H-austricine hydrate-10.0,austricine hydrate,HA1E,24H,10.0,37,61,0,2,1.0,0.1943705538999421,0.0,2.570204081632653,0.7113695277194034,-0.0,0.7113695277194034,0.5127473578703943,True,1.0,0.4100295294201263,0.2652449183605465,chem
CPC001 HA1E 24H-cfm 1571 hydrochloride-10.0,cfm 1571 hydrochloride,HA1E,24H,10.0,52,19,0,2,1.0,0.31652561375974103,0.0,1.794857142857143,0.49959114041938535,-0.0,0.49959114041938535,0.6806412056898324,True,1.0,0.0038484378350625544,0.4031989336887704,chem
CPC001 HA1E 24H-diphenyleneiodonium chloride-10.0,diphenyleneiodonium chloride,HA1E,24H,10.0,74,97,2,3,0.34879505489622675,0.22091957808218016,1.6571052631578946,1.9032323437025027,1.1131954758570892,0.41150094963197503,0.7016945262251142,0.27456681901789076,True,1.0,1.1807129986947766,0.12095968010663112,chem
CPC001 HA1E 24H-lawsone-10.0,lawsone,HA1E,24H,10.0,43,43,0,2,1.0,0.24299369171813912,0.0,2.19198606271777,0.6144050008361067,-0.0,0.6144050008361067,0.5867616776915617,True,1.0,0.22405607917049664,0.31922692435854716,chem
"CPC001 HA1E 24H-ici-162,846-10.0","ici-162,846",HA1E,24H,10.0,52,50,0,1,1.0,0.6858468627899699,0.0,0.8734529272701989,0.16377284357838476,0.48635141259271647,-0.3225785690143317,0.9444803376759113,False,1.0,-0.6402354279650758,0.6704431856047984,chem
CPC001 HA1E 24H-gsk-3b inhibitor viii-10.0,gsk-3b inhibitor viii,HA1E,24H,10.0,69,86,1,2,0.6683067962120237,0.4494461875405671,0.9160493827160494,1.335820895522388,0.5223464215379643,0.06884464880481618,0.4535017727331481,0.6616346075130266,True,1.0,0.047492008087467605,0.38487170943018995,chem
CPC001 HA1E 24H-tyrphostin ag 1478-10.0,tyrphostin ag 1478,HA1E,24H,10.0,74,85,1,0,0.663994311241259,1.0,0.9271017048794826,0.0,0.1778356414258281,0.07054372650188606,0.10729191492394205,0.9358878285735732,False,1.0,-0.6132636361158793,0.6561146284571809,chem
CPC001 HA1E 24H-w-9 hydrochloride-10.0,w-9 hydrochloride,HA1E,24H,10.0,52,54,0,1,1.0,0.6858468627899699,0.0,0.8734529272701989,0.16377284357838476,1.2548159214993837,-1.091043077920999,0.9444803376759113,False,1.0,-0.6402354279650758,0.6704431856047984,chem
CPC001 HA1E 24H-cdk2/5 inhibitor-10.0,cdk2/5 inhibitor,HA1E,24H,10.0,54,68,1,2,0.5816087129141987,0.33271882252510226,1.1654689515386032,1.7252747252747254,0.7132917256449187,1.0303162443412157,-0.317024518696297,0.5113394300375935,True,1.0,0.4137162155904307,0.26457847384205263,chem
CPC001 HA1E 24H-peucedanin-10.0,peucedanin,HA1E,24H,10.0,37,37,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-jak3 inhibitor i-10.0,jak3 inhibitor i,HA1E,24H,10.0,46,50,0,1,1.0,0.6407694557263302,0.0,0.9908589440504334,0.1932981984307902,-0.0,0.1932981984307902,0.9259666814856249,False,1.0,-0.5836071713413398,0.6467844051982673,chem
CPC001 HA1E 24H-arp 101-10.0,arp 101,HA1E,24H,10.0,146,108,1,3,0.7504881416164202,0.6262048296497553,0.7251644167532018,0.9340946822961211,0.3279397527863548,0.11235976555662637,0.21557998722972843,0.8248298825797774,False,1.0,-0.32537093572690295,0.5321559480173276,chem
CPC001 HA1E 24H-purmorphamine-10.0,purmorphamine,HA1E,24H,10.0,33,47,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC001 HA1E 24H-imd 0354-10.0,imd 0354,HA1E,24H,10.0,141,189,1,2,0.9132808344702007,0.8207121089750633,0.4074074074074074,0.6364850976361768,0.12520481493269198,0.2988665800857228,-0.17366176515303083,0.9656292639252524,False,1.0,-0.714207112117145,0.700433188937021,chem
